Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
2	Backward	1	2	27	72	Correct	2047
2	Backward	2	2	49	94	Correct	2604
2	Backward	3	3	273	372	Correct	2366
2	Backward	4	3	263	362	Correct	2385
2	Backward	5	4	3947	7493	Correct	3032
2	Backward	6	4	3714	4173	Correct	3341
2	Backward	7	5	94718	81749	Correct	6128
2	Backward	8	5	74963	36947	Correct	23307
2	Backward	9	6	816374	473618	Correct	7830
2	Backward	10	6	859263	362958	Correct	5979
2	Backward	11	7	3617295	592713	Incorrect	6230
2	Backward	12	7	5938416		Incorrect	42810
